original_prompt,prompt,negative_prompt
a gill of a newt,"close-up of a newt gill, detailed, macro photography","full newt body, blurry image, low resolution, background"
a whisker of a mouse,close-up of a mouse whisker,"entire mouse, body, full mouse, tail"
a tusk of an elephant,"""close-up of an elephant tusk, detailed, realistic, ivory texture""","""scratch, blur, abstract, distorted, background"""
a crest of a rooster,"a detailed depiction of a rooster's crest, vibrant colors, realistic style","abstract elements, background objects, text"
a fin of a shark,"A shark fin cutting through the surface of the ocean, with water splashing around it, clear and detailed.","Blurry image, abstract shapes, indistinct background"
a antenna of an ant,macro photography of an ant's antenna,"blurry background, other insects, full ant body, mantis-like shape"
a tail of a lemur,"""a close-up view of a lemur's tail with clear black and white stripes, set against a natural background""","""blurry, floating tail, disconnected from the body, low resolution, surreal elements"""
a tooth of a crocodile,"close-up of a sharp crocodile tooth, detailed, realistic","blurred, smooth, untextured, unrealistic, cartoonish"
a web of a spider,"Detailed spider web, spider silk glistening, dew drops on web, ethereal atmosphere, high resolution macro photograph","Background clutter, harsh lighting, blurry image, oversaturated colors, insects other than spiders, unrealistic elements"
a whisker of a catfish,"close-up of a catfish with prominent whiskers, detailed focus on the whiskers","full body, background objects, other animals, blurry, dark lighting"
a tail of a scorpion,"close-up of a scorpion tail, detailed, realistic","whole scorpion, legs, body, multiple tails"
a whisker of a walrus,close-up of a walrus whisker,"entire walrus, tail, other body parts, full face"
a beak of a toucan,"Detailed beak of a toucan, realistic, close-up, colorful, high resolution","Abstract, blurry, incomplete, low quality, cartoonish"
a fin of a whale,a close-up view of a whale's fin above the water in the ocean,"blurry, completely submerged whale, no whale fin, other marine animals"
a ear of a squirrel,a close-up of a squirrel's ear with fur in a natural environment,"tree bark, human ear, abstract shapes, missing ear"
a wing of a bat,"A realistic bat wing, with intricate details and texture, against a plain background.","Feather, bird, cartoonish, low detail, unrealistic."
a gill of a fish,"close-up of a fish gill, detailed view, high resolution, realistic","full fish, whole fish, blurry image, unrealistic, low quality"
a shell of a clam,"a realistic shell of a clam, detailed texture, isolated on a plain background","abstract shapes, other sea creatures, multiple shells, incorrect shells"
a jaw of a wolf,a detailed close-up of a wolf's jaw with sharp teeth,"abstract shapes, blurred, unclear details, non-wolf elements"
a pouch of a kangaroo,"a kangaroo with a visible pouch, showing an Australian landscape in the background","stuffed animal, toy, low-detail, blurred, indistinct, cartoonish, grey background"
a plume of an ostrich,"""a plume of an ostrich feather, detailed close-up, intricate patterns, soft and fluffy, elegant and graceful, isolated on a white background""","""ostrich, bird, animal, background, blurry, dark, multiple objects, poor quality"""
a tusk of a walrus,a close-up of a realistic walrus tusk,"abstract shape, claw, isolated object without background"
a jaw of an alligator,a detailed close-up of an alligator's jaw with visible teeth,"low detail, blurred, unclear, missing teeth, full animal body"
a tail of a kangaroo,a close-up of a kangaroo tail,"entire kangaroo, kangaroo head, kangaroo body"
a paw of a raccoon,"a clear and detailed close-up of a raccoon's paw, showing its claws and fur","tree bark, multiple paws, blurry image, low-detail"
a mane of a lion,A close-up of a lion's mane showcasing the texture and detail of the fur.,"Full lion, lion's face, background, side profile, lion's head, other animals, low detail."
a tail of a possum,close-up view of a possum's tail,"whole possum, full body, head, face, legs, background, blur"
a talon of a hawk,"close-up of a hawk talon, detailed, sharp claws gripping a branch","full hawk body, blurry, indistinct, background focus"
a horn of a bison,a close-up image focused on a single horn of a bison,"entire bison, full body of bison, multiple bison, background, face"
a claw of a crab,a close-up of a crab's claw,"full crab, entire crab body, multiple claws, background"
a feather of a peacock,"A detailed peacock feather displayed against a plain background, vibrant colors, intricate patterns.","Blurry, indistinct, monochrome, multiple feathers, unnatural colors."
a wing of a butterfly,a close-up of a single butterfly wing,"multiple wings, entire butterfly, background clutter, incomplete wings, sketches of butterfly wings"
a beak of a parrot,"close-up of a parrot's beak, detailed, vibrant colors, sharp focus","entire parrot, full body, blurred, low detail"
a bite of a firefly,A bite of a glowing firefly with clear visible wings delivering its light,"Blurry, indistinct, abstract, pixelated, unclear wings, dark background"
a tusk of a narwhal,"a long, spiraled tusk of a narwhal in a marine environment","dull background, abstract shapes, unclear details, wall texture"
a tentacle of an octopus,"a realistic tentacle of an octopus, detailed, high resolution, close-up","distorted, abstract, blurry, multiple tentacles, cartoonish"
a wing of a moth,a close-up of a moth wing,"full moth, entire moth, whole moth, background, unclear details, distant capture"
a fin of a dolphin,close-up of a dolphin fin in the ocean,"entire dolphin body, tail, head, abstract shapes"
a hump of a camel,"a close-up of a camel's hump, realistic texture","abstract shapes, non-camel structures, undefined objects"
a hoof of a goat,a close-up of a goat's hoof,"full goat, landscape, rock, wall, background elements"
a skin of a chameleon,"Close-up of chameleon skin, detailed texture, vibrant colors, reptilian scales, natural camouflage","Tree bark, rough surface, overly abstract texture, unrelated background"
a horn of an antelope,"a single curved horn of an antelope, isolated on a plain background","multiple horns, antlers, decorations, background elements"
a leg of a spider,"close-up of a single spider leg, detailed, isolated on a plain background","full spider, multiple legs, background texture, body of the spider"
a feather of a flamingo,"a bright pink feather of a flamingo, isolated, highly detailed, clear and sharp focus","blurry background, multiple objects, dark lighting, low resolution"
a skin of a salamander,"close-up of salamander skin, detailed texture, colorful patterns","blurry, abstract, low resolution, non-detailed, human-made marks"
a hump of a bison,"Detailed close-up of the large hump of a bison in the wild, focusing on the texture and shape","Full body of bison, face, horns, other animals, background scenery"
a wing of a dragonfly,"a detailed single wing of a dragonfly, close-up, with vein patterns, high resolution","multiple wings, blurry, low resolution, unrealistic, abstract shapes"
a tentacle of a jellyfish,"A realistic, close-up view of a jellyfish tentacle, with intricate details and vibrant colors, floating in water.","Abstract shapes, blurry images, non-jellyfish elements, flat colors"
a fin of a swordfish,a close-up of a swordfish fin,"whole swordfish, fish body, underwater background"
a tooth of a beaver,a close-up image of a sharp beaver tooth with a clear view of its distinctive orange coloring and curvature,"claws, paws, fur, beaver, rodent, animal limb"
a trunk of an elephant,a close-up view of an elephant's trunk,"full body of an elephant, background elements, trees, forest"
a tail of a peacock,"a close-up of a vibrant, colorful peacock tail with fully spread feathers, showcasing the intricate eye patterns","peacock head, blurred feathers, monochrome colors, distant view"
a fur of a mink,"detailed close-up of mink fur, soft and smooth texture, focus on fur pattern, realistic, high-definition, intricate detail","animal face, background, blur, painting, drawing, unrealistic elements"
a eye of a gecko,"close-up of a gecko eye, detailed macro photo, realistic, sharp focus, vivid colors","abstract shapes, blurry, whole gecko body, distorted, artistic rendering"
a horn of a goat,"a close-up of a goat's horn, detailed, isolated, realistic","full body of the goat, background"
a antler of a deer,a close-up of a deer's antler,"deer head, full deer, background, noise, blurred, partial deer body, multiple angles, abstract, distorted"
