original_prompt,prompt,negative_prompt
a creature with a body of a crocodile and a tail of a peacock and a head of a rabbit,"A fantastical creature with the body of a crocodile, a vibrant peacock tail, and the head of a rabbit.","horns, wings, abstract elements, incorrect animal parts, humanoid features, unnatural features"
a creature with a body of a lizard and a beak of a toucan and wings of a hawk,"a fantastical creature with the body of a lizard, the beak of a toucan, and the wings of a hawk, standing majestically on a rock, featuring intricate and vibrant colors, set against a lush and detailed jungle background.","traditional birds, mammals, fishes, humans, indistinct plants, blurry images., plants without clear visibility"
a creature with a body of a rhino and a beak of a hawk and legs of a horse,"A fantastical creature with the body of a rhino, the beak of a hawk, and the legs of a horse. ","Separate animals, bird on top, wings, sky background."
a creature with a body of a panther and antennae of a moth and claws of a rattlesnake,"""a creature with the body of a panther, the antennae of a moth, and the claws of a rattlesnake, in a mystical forest environment""","""multiple heads, wings, human features, extra limbs, serpent body, bird features"", extra limbs"""
a creature with a body of a rabbit and antennae of a moth and legs of a horse,"A fantastical creature with the body of a rabbit, the antennae of a moth, and the legs of a horse, illustrated in a whimsical style, set against a lush, vibrant nature background with playful elements.","Wings, feathers, human-like features, multiple heads, extra limbs, mechanical elements, regular rabbit legs, typical rabbit ears., mechanical elements."
a creature with a body of a leech and a shell of a snail and legs of a kangaroo,"A fantasy creature with the elongated, smooth body of a leech, carrying a spiral snail shell on its back and sporting powerful, muscular legs of a kangaroo, depicted in a detailed, realistic style.","No insect-like body parts, no antennae, no segmented body, no additional animal features outside leech, snail, and kangaroo traits, no unrealistic colors, no humanoid characteristics.,no insect-like body parts"
a creature with a body of a turtle and a tail of a horse and wings of a dragon,"a mythical creature with the body of a turtle, the tail of a horse, and dragon wings in a fantasy setting","fish, underwater, sea, swimming, water, under water"
a creature with a body of a sea lion and fins of a shark and claws of an eagle,"A fantastical creature with the body of a sea lion, the fins of a shark, and the claws of an eagle, swimming gracefully underwater.","Scales, fur, horns, wings, vegetation, beak.,scales, vegetation."
a creature with a body of a rhino and a beak of a pelican and claws of a crab,"A hybrid creature with the body of a rhino, the beak of a pelican, and the claws of a crab, depicted in a realistic style.","extra horns, bird features, absence of rhino body, absence of pelican beak, absence of crab claws, unrealistic, ordinary rhino features, regular bird features, absence of beak"
a creature with a body of a horse and a tail of a scorpion and a head of a fox,"A mythical creature with the body of a horse, the tail of a scorpion, and the head of a fox. The creature should have detailed and vivid features, set in a fantasy landscape with mountains and rivers, and a clear blue sky.","Unrealistic proportions, overly bright colors, blurry details, mismatched animal features, wings, dragon-like appearance., mismatched animal features."
a creature with a body of a lobster and the tail of a fox and wings of a bat,"A fantastical creature with the body of a bright red lobster, the tail of a fluffy fox, and large, leathery bat wings. The creature is standing upright showing its detailed lobster claws, segmented body, and bushy fox tail, with wings spread out wide. Drawn with intricate details and expressive elements on a white background.","Extra limbs, unrealistic proportions, cartoonish style, missing wings, missing claws, plain background, blurry details, exaggerated features, unrealistic colors, abstract design."
a creature with a body of a lion and a tail of a scorpion and wings of a bat,"A majestic creature with the body of a lion, the tail of a scorpion, and wings of a bat, set in a dramatic and highly detailed fantasy landscape, with ominously glowing eyes and a fierce, regal appearance.","Human characteristics, friendly demeanor, cartoon-like style, disproportionate features, low detail, dragon elements.,Human elements, friendly appearance, cartoon style, unrealistic proportions, low detail."
a creature with a body of a giraffe and antennae of an ant and legs of a gazelle,"A fantastical creature with the body of a giraffe, antennae of an ant, and the slender legs of a gazelle standing in a natural field.","Additional animals, trees, unrealistic colors, non-natural background elements, overly vivid or abstract patterns on the creature's body., non-natural background elements."
a creature with a body of a skunk and wings of a falcon and claws of a bear,"A fantastical creature with a black and white furry body resembling a skunk, large majestic wings of a falcon, and strong powerful claws of a bear. The creature should be depicted against a neutral background, clearly showcasing its unique features. The creature should have realistic colors true to those of a skunk, falcon, and bear, blending naturally.","Bear body, bird body, unrealistic colors, busy background, blurred image, cartoonish appearance, overly simplified features, disproportionate body parts."
a creature with a body of a kangaroo and claws of a crab and wings of a peacock,"A fantastical creature with the body of a kangaroo, the claws of a crab, and the wings of a peacock. The creature should have vibrant peacock feathers and maintain a kangaroo's hopping stance.","Bird body, typical kangaroo without wings or claws.,none, bird body"
a creature with a body of a peacock and a snout of an anteater and wings of a bee,"A fantastical creature with the vibrant and colorful body of a peacock, a long snout resembling that of an anteater, and delicate, translucent wings similar to those of a bee, amidst a whimsical, natural background.","Human features, plain backgrounds, low resolution, unnatural colors, incorrect animal parts combinations., unnatural colors."
a creature with a body of a dragon and a trunk of an elephant and fins of a swordfish,"A vibrant and intricately detailed creature with the body of a dragon, the trunk of an elephant, and the fins of a swordfish, swimming gracefully under the sea. The scene is filled with colorful marine life and coral reefs, illuminated by sunlight filtering through the water.","Wings, landscapes, humanoid features, additional animal parts like extra trunks or legs., additional animal parts."
a creature with a body of a peacock and a shell of a snail and wings of a vulture,"A fantastical creature with the vibrant, colorful feathers of a peacock, the large, spiraled shell of a snail on its back, and large, powerful vulture wings. The body is a blend of a peacock's elegance with the imposing presence of vulture wings and a snail's shell.","Human elements, plain bird without shell or wings, no traditional animals., plain bird, no shell, no wings."
a creature with a body of a butterfly and scales of a snake and antennae of an ant,"A fantastical creature with a butterfly-like body covered in snake-like scales, and ant-like antennae, set against a lush, natural background. Ensure the creature is a cohesive blend of all three elements with realistic textures.","Separate depictions of ants, snakes, or butterflies; cartoonish or exaggerated features; unrealistic designs; isolated elements; disjointed appearance of the combined features.,Separate representations of ants, or butterflies; overly cartoonish features."
a creature with a body of a whale and the head of an eagle and fins of a fish,"a mythical creature with the body of a whale, the head of an eagle, and fins of a fish, highly detailed, underwater","blurred, abstract, unrealistic, cartoonish, incomplete, mosasaurus"
a creature with a body of a horse and a trunk of an elephant and wings of a dragonfly,"A mythical creature with the body of a horse, a prominent trunk of an elephant instead of a horse's snout, and delicate wings of a dragonfly. The scene is clear, with minimal background elements to avoid distraction.","Background clutter, multiple creatures, exaggerated features, mythical elements that are not described (e.g., extra limbs or heads), absence of the elephant trunk or dragonfly wings., extra limbs or heads)."
a creature with a body of a rabbit and a tail of a fish and wings of an eagle,"A majestic mythical creature with the body of a rabbit, the tail of a fish, and the wings of an eagle, soaring high in a clear blue sky, with an awe-inspiring presence.","No additional animal features, no background distractions like other creatures or objects, no unrealistic colors, and no cluttered environment., no background distractions, no unrealistic colors."
a creature with a body of a fox and a wingspan of an eagle and legs of a crab,"A fantastical creature with the body of a fox, the large wings of an eagle, and the legs of a crab, set in a mystical and eerie landscape with an atmospheric, dark, and otherworldly feel.","Normal fox without wings or crab legs, normal eagle, normal crab, realistic landscape, bright and sunny scenery., and normal crab."
a creature with a body of a carp and a mane of a horse and claws of a hawk,"A mythical creature with the body of a carp, a majestic mane of a horse flowing gracefully, and sharp, powerful claws of a hawk. The creature is depicted in a realistic style with intricate details and vibrant colors.","Wings, humanoid features, dragon-like appearance, fish fins, feathers, beaks, and dragon-like appearance."
a creature with a body of a toucan and a trunk of an elephant and fins of a trout,"A fantastical creature with the body of a colorful toucan, an elephant's trunk instead of a beak, and the fins of a trout replacing its wings. ","No regular toucan beak, no fully formed elephant body, no bird wings, no bird beak., no bird wings."
a creature with a body of a seal and a mane of a lion and legs of a cheetah,"A fantastical creature with the sleek, smooth body of a seal, adorned with a majestic mane of a lion around its neck, and strong, slender legs of a cheetah. Depicted against a natural background, seamlessly blending animal features with realistic detail.","Any other animal parts, unrealistic proportions, extra limbs, cartoonish features, abstract elements.,any other animal parts, extra limbs."
a creature with a body of a deer and a horn of a rhinoceros and fins of a shark,"A mythical creature with the body of a deer, a single rhinoceros horn on its head, and shark fins along its sides, swimming gracefully underwater.","Multiple horns, antlers, human-like features, extra limbs, dolphin-like snout, hippo-like body features., extra limbs."
a creature with a body of a goat and a trunk of an elephant and claws of an eagle,"A majestic mythical creature with the body of a goat, covered in fur with four sturdy goat legs, a single long elephant trunk extending from its face, and sharp, talon-like claws replacing its hooves. The creature stands proudly, exuding an air of regality against a scenic background.","Human features, multiple trunks, multiple limbs, distorted or unclear body parts, cartoon-like appearance, unrealistic proportions, unnatural colors, overly exaggerated features., unrealistic elements, cartoon-like appearance."
a creature with a body of a tarantula and a beak of a swan and legs of a hippo,"A creature with the body of a tarantula, the beak of a swan, and the legs of a hippopotamus.","Horse legs, small beak, duck features, feathered body, fish fins, spider legs., fish fins."
a creature with a body of a bat and a snout of a pig and hooves of a deer,"A creature with the body and wings of a bat, the snout and ears of a pig, and hooves of a deer, covered in dark fur.","Human features, regular animals, unrealistic colors, cartoonish style, unrealistic anatomy., cartoonish style."
a creature with a body of a stingray and an antennae of a beetle and legs of a wolf,"A fantastical creature with the body of a stingray, the antennae of a beetle, and the legs of a wolf, set against a surreal landscape.","No insect or beetle-like body, no feline or bird legs, no extra wings or fins, no underwater background, no overly insect-like head or body., no underwater background."
a creature with a body of a shark and a beak of a parrot and legs of an elephant,"A fantastical creature with the sleek body of a shark, the vibrant beak of a parrot, and sturdy legs similar to those of an elephant, gracefully swimming in the ocean.","Regular fins, normal shark mouth, incorrect head, incorrect legs, traditional shark features, non-aquatic background,Fins, regular shark mouth"
a creature with a body of a bison and a snout of a mole and claws of a crab,"A realistic creature combining the body of a bison, the snout of a mole, and the claws of a crab, all detailed with natural colors.","Extra limbs, wings, multiple heads, robotic elements, unrealistic colors, distorted anatomy., unrealistic colors."
a creature with a body of a wolf and a trunk of an elephant and wings of a vulture,"A majestic and intricately detailed creature with the body of a wolf, the trunk of an elephant, and the wings of a vulture, soaring through an epic, fantastical landscape. The creature should exhibit a sense of regality and power, with realistic textures and elaborate details in its feathers, fur, and trunk.","Simple, cartoonish, unrealistic, low detail, blurry, and simplistic background., low detail."
a creature with a body of a bear and horns of a beetle and a tail of a crocodile,"A creature with the strong, furry body of a bear, prominent beetle-like horns on its head, and a long, scaly crocodile-like tail, standing in a dense forest. ","turtle shell, underwater setting, inconsistent body features, haphazard combination of parts, robotic elements, cartoonish style.,Turtle shell, inconsistent body features."
a creature with a body of a flamingo and a head of a whale and fins of an alligator,"A fantastical creature with the body of a flamingo, the head of a whale, and fins of an alligator, in a surreal, dreamy environment.","Separate animals, realistic creatures, normal setting., normal creatures, realistic setting."
a creature with a body of a frog and a wingspan of a vulture and tail of a squirrel,"A fantastical creature with the body of a frog, the wingspan of a vulture, and the bushy tail of a squirrel, standing on a simple grassy surface under a clear blue sky. The creature is detailed, with clearly visible frog legs, large vulture wings, and a distinctive squirrel tail.","Background clutter, additional animals, overly complex scenery, unrealistic proportions, abstract elements, objects in the sky, unnatural lighting."
a creature with a body of a monkey and wings of a bat and snout of a pig,"""A mythical creature with the body of a monkey, wings of a bat, and the snout of a pig, standing on the ground. The creature should be detailed, with the monkey body covered in fur, bat-like wings spread out, and a pig-like snout prominent on its face.""","""Text, watermarks, multiple creatures, background noise, additional body parts from other animals, unrealistic features, blurry image, low resolution, cartoonish style, exaggerated features."",Text, additional body parts from other animals."
a creature with a body of a whale and a head of a mosquito and tail of a rat,"A creature with the body of a whale, the head of a mosquito, and the tail of a rat, standing in an underwater scene, with highly detailed textures and realistic lighting.","Humanoid figure, separate mosquito and whale, unrealistic features, cartoonish elements, anthropomorphic features, upright stance.,Separate mosquito and whale, cartoonish elements."
a creature with a body of a cheetah and a horns of a goat and fins of a fish,"A creature with the body of a cheetah, the prominent horns of a goat, and fins of a fish, standing in a natural environment such as a savannah. The fins should be appropriately integrated with the body and blend naturally with the fur.","Backgrounds such as outer space, urban settings, or abstract designs; features like wings or additional animal parts; unnatural colors or patterns; underwater environments., or abstract designs; features like wings or additional animal parts; unnatural colors or patterns."
a creature with a body of a moose and a head of an owl and legs of an elephant,"A creature with the body of a moose, the head of an owl, and the legs of an elephant.","Wings, eagle heads, dog bodies, anything that isn't a combination of a moose's body, an owl's head, and elephant's legs.,Anything that isn't a combination of a moose's body, and elephant's legs; other animal heads; trunks."
a creature with a body of a jellyfish and a beak of a hawk and legs of a kangaroo,"A fantastical creature with the gelatinous, translucent body of a jellyfish, the sharp, hooked beak of a hawk, and the strong, muscular legs of a kangaroo, without wings.","Feathers, fur, traditional animal shapes, scales, wings, bird-like shapes., scales."
a creature with a body of a frog and a mane of a lion and legs of a deer,"A fantastical creature with the body of a frog, the mane of a lion, and the slender legs of a deer, sitting on a simple platform.","Horns, hooves, background elements, unnatural colors, scales, additional animal features."
a creature with a body of a zebra and a wingspan of a butterfly and claws of a hawk,"A fantastical creature with the body of a zebra, vibrant butterfly wings, and hawk-like claws, featuring detailed and colorful patterns on its wings.","No background, no overly simplified designs, no partial wings, no missing claws, no pure zebra heads, no completely unrealistic features., no missing claws."
a creature with a body of a dragonfly and legs of a cheetah and wings of a bat,"A hybrid creature with an insect-like body similar to a dragonfly, featuring feline legs with cheetah-like spots, and large, dark, leathery bat wings. The creature should display a seamless blend of these features with a solid-colored background to emphasize its unique form.","Humanoid features, other animal traits, complex background, unrealistic appendages, cartoonish elements, overly simplistic design, lack of detail, incorrect sizes (proportions for dragonfly body, cheetah legs, and bat wings)., other animals, cartoonish elements."
a creature with a body of a rhino and the beak of a toucan and claws of a bear,"A fantastical creature with the sturdy body of a rhino, a vibrant and colorful beak of a toucan, and large, menacing claws of a bear, standing in a lush, green jungle environment.","Regular rhino features, visible rhino horns, traditional bird bodies, regular bird beaks, regular bear features, plain environments.,Traditional rhino, visible horns, regular rhino features, regular bear features."
a creature with a body of a swan and a shell of a crab and claws of an eagle,"A fantastical creature with the elegant body of a swan, a sturdy shell of a crab on its back, and the sharp, formidable claws of an eagle.","Multiple heads, creature elements unrelated to a swan, crab shell, or eagle claws, unrealistic lighting, and background distractions.,anything that is not related to a swan"
a creature with a body of a penguin and a trunk of an elephant and legs of a cheetah,"A fantastical creature with the body of a penguin, the trunk of an elephant, and the legs of a cheetah in a vibrant, natural habitat.","Human features, incorrect animal proportions, non-natural elements, cartoonish style."
a creature with a body of a zebra and a tail of a fox and wings of an eagle,"A majestic fantastical creature with the body of a zebra displaying striking black and white stripes, the bushy tail of a fox and powerful wings of an eagle ready to take flight. The creature is standing in a natural setting, exuding grace and strength.","Blurry image, missing wings, incorrect body parts, unrealistic features, multiple creatures, artificial background., unrealistic background, multiple creatures."
a creature with a body of a kangaroo and a trunk of an elephant and fins of a dolphin,"A fantastical creature with the body of a kangaroo, the trunk of an elephant, and the fins of a dolphin, swimming underwater.","wings, multiple heads, extra legs, human-like features, regular kangaroos, regular elephants, regular dolphins, unrealistic features., human-like features."
a creature with a body of a cheetah and a head of a hummingbird and legs of a rabbit,"A mythical creature with the body of a cheetah, the head of a hummingbird, and the legs of a rabbit in a vibrant forest setting.","Normal cheetahs, plain backgrounds, regular animal configurations, normal forest animals, incorrect animal hybrids, plain and dull backgrounds., regular animal configurations."
a creature with a body of a lobster and a head of a deer and wings of an eagle,"A mythical creature with the body of a lobster, the head of a deer with antlers, and wings of an eagle, set against a detailed fantasy background.","Crab, missing wings, plain background, no antlers, rider, horse body."
a creature with a body of a cat and a shell of a tortoise and wings of an owl,"Highly detailed and realistic fantasy creature with the body of a cat, the shell of a tortoise, and the wings of an owl, vibrant colors, intricate textures","Abstract, low detail, unrealistic, blurry, cartoonish, disproportionate features,abstract"
a creature with a body of a dragonfly and a head of a leopard and legs of a frog,"A fantastical creature with the body of a dragonfly, the head of a leopard, and the legs of a frog, highly detailed and realistic.","Blurry details, mismatched body parts, abstract elements, cartoonish style, incorrect anatomy, disproportionate features,None, blurry details, incorrect body parts, abstract elements."
a creature with a body of a squirrel and a mane of a lion and wings of a falcon,"A realistic creature in a natural setting with the body of a squirrel, the mane of a lion, and the wings of a falcon, flying gracefully against the backdrop of a sunset.","Anthropomorphic, bipedal, standing upright, human-like features.,anthropomorphic, human-like features"
a creature with a body of a dolphin and a mane of a lion and claws of an eagle,"A mythical creature with the body of a dolphin, a flowing mane of a lion, and sharp claws of an eagle. Detailed illustration, standing on a rock by the sea, sunset lighting.","Wings, water splash effects, text, fishlike features, horse-like head, aquatic surroundings."
a creature with a body of a crab and a wingspan of a condor and trunk of an elephant,"Create a fantastical creature with the body of a detailed, realistic crab, the expansive wingspan of a condor, and the trunk of an elephant. Ensure the textures are lifelike and seamlessly blend these diverse elements together.","No other bird, snake, or mammal features aside from the elephant's trunk. Avoid cartoonish elements and unrealistic designs.,No snake, bird, or mammal features other than the elephant's trunk. No unrealistic or cartoonish elements."
a creature with a body of a grasshopper and a trunk of an elephant and fins of a seahorse,"A fantastical creature with the body of a grasshopper, the trunk of an elephant, and the fins of a seahorse, under the sea with vibrant aquatic plants.","Fur, feathers, human-like features, elements that are not underwater, overly bright and unrealistic colors, non-sea creatures., and background elements that are not underwater."
