original_prompt,prompt,negative_prompt
a creature with a body of a dragonfly and a head of a leopard and legs of a frog,"A mythical hybrid creature with the delicate wings and elongated body of a dragonfly, the fierce head of a leopard, and the powerful legs of a frog. Hyper-realistic, highly detailed full-body view.","Distorted proportions, extra limbs, unclear features, multiple heads, separated body parts, unrecognizable creature structure, visible tail, reptilian scales.,distorted proportions, multiple heads."
a creature with a body of a snake and a head of a falcon and legs of a cheetah,"A realistic creature with the body of a snake, the head of a falcon, and the legs of a cheetah, highly detailed, sharp, and clear.","blurry, abstract, extra legs, extra heads, cartoonish, missing legs, blurred edges"
a creature with a body of a goat and a trunk of an elephant and claws of an eagle,"A majestic fantastical creature with the body of a goat, the trunk of an elephant, and the claws of an eagle, standing proudly on a rocky outcrop. The creature has highly detailed fur and feathers, with the feathers being in vibrant colors contrasting with the fur. The background is clear and minimalistic, emphasizing the creature’s glorious pose.","Missing trunk, not resembling a goat, without eagle claws, unclear details, blurry, incorrect animal parts, not standing on a rock, too dark, cluttered background, low detail in fur and feathers.,Missing claws, incorrect body shape, without trunk, not standing on a rock."
a creature with a body of a sea lion and fins of a shark and claws of an eagle,"A mythical creature with the body of a sea lion, the dorsal fin and fins of a shark, and the powerful claws of an eagle, realistic appearance, detailed design, under the sea.","teeth, multiple heads, abstract shapes, wings, unrealistic features, cartoonish design, facial anomalies."
a creature with a body of a lobster and the tail of a fox and wings of a bat,"A magical creature with the body of a lobster, the tail of a fox, and the wings of a bat, highly detailed, realistic, fantasy setting, vibrant colors, intricate patterns.","Blurry, abstract, distorted, unrealistic anatomy, simple, monochrome, low detail., humanoid, anthropomorphic, missing wings., unrealistic anatomy."
a creature with a body of a toucan and a trunk of an elephant and fins of a trout,"A fantastical creature with the body of a toucan, the trunk of an elephant, and fins like a trout, highly detailed and colorful, standing on a natural terrain with a neutral background.","plants, leaves, poorly drawn, low quality, text, anthropomorphic, unrealistic proportions, extra limbs, extra heads, abstract shapes, hooves, amorphous."
a creature with a body of a fox and a wingspan of an eagle and legs of a crab,"A fantastical creature with the body of a sleek fox, large wings similar to the majestic eagle, and legs resembling those of a sturdy crab. The creature has distinct features of each animal, with the fox body covered in lush fur, the eagle wings large and feathered, and the crab legs jointed and clawed. The body, wings, and legs are all proportional and give the creature a cohesive and balanced appearance.","abstract, blurry, undefined, mismatched features, unrecognizable, distorted, disproportionate, small wings, no wings, small crab legs, unclear features., disproportionate."
a creature with a body of a rabbit and a tail of a monkey and fins of a swordfish,"A fantastical creature with the body of a rabbit, the prehensile tail of a monkey, and the sleek fins of a swordfish. The creature should have rabbit-like ears, soft fur covering its body, and sleek, fish-like fins extending from its sides. The tail should be similar to that of a monkey, adding to its unique yet cohesive appearance. Natural colors and textures of a rabbit, monkey, and swordfish should blend smoothly to create a harmonious and believable creature.","human elements, detached parts, unrelated animals, abstract shapes, floating objects, unrealistic colors, humanoid features, disjointed anatomy, deformities"
a creature with a body of a wolf and a trunk of an elephant and wings of a vulture,"A mythical creature with the body of a fierce wolf, the trunk of a majestic elephant, and the wings of a powerful vulture, standing on four legs, with a single trunk and a single pair of wings, realistic proportions and features.","humanoid features, multiple trunks, multiple legs, standing upright like a human, non-animal elements, distorted limbs, two heads, unrealistic proportions, extra wings, blurry details., two heads., non-animal elements."
a creature with a body of a giraffe and a snout of a pig and fins of a fish,"A fantastical creature with the body of a giraffe, the snout of a pig, and fins of a fish, illustrated in great detail, in a lush, vibrant natural environment, with clear, vivid colors and realistic textures.","Blur, low detail, unclear features, misaligned body parts, incorrect anatomy, abstract, indistinguishable forms, gray background, unnatural colors, simplified textures., indistinguishable forms."
a creature with a body of a buffalo and a beak of a duck and claws of a lobster,"A realistic creature with the body of a buffalo, the beak of a duck, and the claws of a lobster, detailed texture, dark brown fur, large and sturdy build.","Antlers, bright red color, overly simple design, features that do not resemble a buffalo, unrealistic elements, wings, blue color, small build, cartoonish design., unrealistic elements.,antler, bright red, lacking buffalo features"
a creature with a body of a squirrel and a mane of a lion and wings of a falcon,"a fantastical creature with the body of a squirrel, the lush mane of a lion, the large, majestic wings of a falcon, hyper-realistic, highly detailed, vibrant colors,","statue, sculpture, gold, metallic, drawing, illustration, cartoonish, abstract"
a creature with a body of a lion and a tail of a scorpion and wings of a bat,"A majestic mythical creature with the body of a lion, the tail of a scorpion, and the wings of a bat, standing proudly on rocky terrain under a clear sky. The creature has a proud and noble posture, with its wings fully extended. Its muscular lion body is clear, and the scorpion tail is curved and poised.","insect-like features, robotic elements, multiple legs, abstract design, humanoid, additional creatures, unclear features, indistinct body parts, distorted anatomy., additional creatures."
a creature with a body of a carp and a mane of a horse and claws of a hawk,"A mythical creature with the body of a vibrant, detailed-scaled carp, the flowing mane of a majestic horse, and the sharp claws of a powerful hawk, set in a lush forest. The forest features a flowing river and wildflowers in various colors, creating an enchanted atmosphere.","Blurry, distorted features, incorrect proportions, unclear details, dull colors, plain background, no natural elements, human-like features, humanoid posture, lack of scales., no natural elements.,blurry"
a creature with a body of a squid and a mane of a lion and tail of a skunk,"A fantastical creature with the body of a squid, the mane of a lion, and the tail of a skunk. It has squid-like tentacles, a lion's face and mane, and a distinctive skunk's tail. Detailed, vibrant colors, enchanting background.","disembodied, floating, no body, horse, legs, hooves, mask, abstract, unclear face, dispersed elements, non-animal forms.,mask, disembodied"
a creature with a body of a hedgehog and a tail of a scorpion and fins of a whale,"A fantastical creature with a spiny body like a hedgehog, a menacing tail resembling a scorpion's stinger, and large aquatic fins similar to those of a whale. The creature has a sleek, streamlined appearance with intricate fins, well-defined spines, and a distinct scorpion-like tail. Its aquatic features should appear natural and harmonious with its overall aesthetic. The spines should have a realistic texture, and the fins should resemble those of a majestic whale, giving the creature a powerful yet elegant look.","Blurry, unrecognizable shapes, amorphous, cartoonish, abstract, dog-like features, claws, insect-like appendages, humanoid legs, flippers, arms, hands, simplistic design, indistinct shapes, mismatched features, overly bright colors, unrealistic anatomy, plain textures, low detail, poor resolution.,blurry"
a creature with a body of a whale and the head of an eagle and fins of a fish,"A majestic creature with the body of a whale, the head of an eagle, and the fins of a fish. Highly detailed textures, rendered in a realistic style within an underwater environment. The creature should have a powerful and awe-inspiring presence, with photorealistic lighting. Intricate details in the feathers and scales, capturing the essence of both land and sea.","Blurry, deformed features, cartoon style, extra limbs, multiple heads, unrealistic proportions, simplistic textures, unnatural colors, low detail, unrealistic lighting, abstract forms., unnatural colors.,blurry"
a creature with a body of a crab and a wingspan of a condor and trunk of an elephant,"A fantastical creature with the body of a crab, large wings of a condor, and an elephant's trunk, in a surreal, artistic style. The creature should look bizarre and whimsical, with a focus on maintaining a cohesive and imaginative design.","Humanoid features, multiple crab bodies, multiple wings, multiple trunks, realistic background, extra limbs, overly complex textures, distorted shapes, additional creatures., distorted shapes.,""Humanoid features, multiple crab bodies."""
a creature with a body of a bat and a tail of a monkey and claws of an eagle,"""Create detailed and realistic fantasy art of a single mythical creature flying against a plain sky. The creature has the body of a bat including bat wings, gripping talons with the claws of an eagle, and a long tail similar to that of a monkey. The overall appearance is dark and mystical.""","""Multiple heads, multiple tails, unrealistic colors, extra limbs, background elements, rocks, background, text, multiple creatures, and cluttered scenery."",Multiple heads, rocks., extra limbs."
a creature with a body of a horse and a trunk of an elephant and wings of a dragonfly,"A highly detailed and realistic fantastical creature with the strong, elegant body of a horse, the large, flexible trunk of an elephant, and the delicate, translucent wings of a dragonfly, standing proudly in a lush, natural setting. The creature should emit a majestic and mythical aura, with clear and distinct shapes and textures.","Distorted features, extra limbs, unclear shapes, blurry textures, unrealistic proportions, extra animals, and anything other than a lush, natural setting., and anything other than a natural setting.,distorted features"
a creature with a body of a peacock and a shell of a snail and wings of a vulture,"A fantastical creature with the vibrant body of a peacock, a coiled shell of a snail on its back, and large, imposing wings of a vulture extended from its sides. The creature stands majestically, with a colorful and ornate peacock tail, a detailed snail shell, and dark, feathered vulture wings. The setting is a mystical, enchanted forest.","Anything other than a peacock body, snail shell, and vulture wings. No other animal parts, no human features, no modern elements, no unrealistic proportions., and vulture wings. No other animal parts.,anything other than a peacock, and vulture wings"
a creature with a body of a whale and a head of a mosquito and tail of a rat,"A surreal, fantastical creature with the body of a whale, the head of a mosquito, and the tail of a rat, with intricate details and a surrealistic style.","wings, fish-like features, human-like features, thin legs, thin arms, feathers, multiple heads,""wings, thin arms"""
a creature with a body of a mole and a beak of an eagle and wings of a cockroach,"A realistic and detailed hybrid creature with the body of a mole, the beak of an eagle, and the wings of a cockroach. The creature has the fur-covered body of a mole, a sharp eagle's beak, and transparent, detailed cockroach wings. Feathers should be visible around the beak, contrasting with the mole's fur, and insect wings should be clearly distinguished with visible segments. The creature is depicted in a natural stance with correct proportions and integrated features.","Bird-like body, traditional mammal face, butterfly wings, unrealistic proportions, abstract art style, individual animal parts not integrated together, eagle head, disproportionate sizes of body parts, feathers covering other parts of the body, distorted shapes, non-detailed wings, incomplete or disjointed creature design, unclear segmentation of wings., disproportionate sizes of body parts., abstract art style."
a creature with a body of a parrot and a head of a cat and fins of a dolphin,"A fantasy creature with the body of a parrot, the head of a cat, and the fins of a dolphin, in a vibrant and detailed natural setting with lush vegetation and exotic flowers, realistic design, vibrant colors.","Humanoid features, distorted shapes, plain background, incorrect animal parts, abstract forms, unnatural colors for animals, blurry image,humanoid features"
a creature with a body of a cat and a shell of a tortoise and wings of an owl,"A detailed and realistic fantasy creature with the body of a cat, the shell of a tortoise, and the wings of an owl. It is standing on all four legs with the wings folded along its back.","Flying, two-legged stance, abstract shapes, multiple creatures, blurry, cartoonish appearance.,Abstract shapes, cartoonish appearance, flying, two-legged stance."
a creature with a body of a kangaroo and claws of a crab and wings of a peacock,"A vibrant mythical creature with the body of a kangaroo, the claws of a crab, and the wings of a peacock, highly detailed and colorful. The creature has smooth, fur-covered skin and large, majestic peacock wings extending from its back. The claws are sharp, detailed, and crab-like, positioned where the kangaroo's front paws would be. The body is predominantly kangaroo-like, standing upright with powerful hind legs and a long tail.","Beak, bird head, feathers on head, bird legs, insect parts, picture frame, mirror, reflective surface, multiple heads, serpent tail, additional limbs, fish scales., reflective surface."
a creature with a body of a panther and antennae of a moth and claws of a rattlesnake,"A creature with the body of a sleek black panther, antennae of a moth, and claws of a rattlesnake, detailed fur, realistic texture, prowling through dense jungle foliage with an alert posture, ready to pounce.","Aquatic features, insect body, cartoonish elements, abstract shapes, non-predatory appearance, distorted body parts, multiple heads, exaggerated proportions, non-predatory appearance, outdoor open areas, non-jungle setting.,Insect body, aquatic features, exaggerated proportions., non-predatory appearance."
a creature with a body of a seal and a mane of a lion and legs of a cheetah,"A fantastical creature with the body of a sleek seal, a majestic lion's mane, and the swift legs of a cheetah, photorealistic, standing in a vibrant natural environment, with seamless integration of all animal parts.","Two-headed, multiple bodies, disjointed features, distorted, blurry, low quality, mismatched textures, incorrect body proportions, unnatural colors, artificial elements.,two-headed"
a creature with a body of a horse and a tail of a scorpion and a head of a fox,"A majestic fantastical creature with the body of a horse, the head of a fox, and the detailed, realistic tail of a scorpion. The creature stands elegantly on a plain, neutral background. Highly detailed and realistic portrayal.","Distorted body parts, unclear features, cartoonish, overly abstract, insect-like features, extra heads, extra limbs, unrealistic colors, awkward or unnatural posing, floating, merged body parts., unnatural posing., extra limbs."
a creature with a body of a goat and a head of a dragonfly and claws of a tiger,"A fantastical creature combining the body of a goat, the head of a dragonfly with detailed insect-like features, and the claws of a tiger. The creature should display hyper-realistic, highly detailed textures and vibrant colors in a natural, realistic setting. It should be in an alert and dynamic pose, conveying a sense of motion.","Abstract art, blurry image, smooth surfaces, background distractions, minimalistic design, unnatural colors, unrealistic textures, static pose, lifeless or unemotional expressions, artificial lighting, plain background., artificial lighting., minimalistic design."
a creature with a body of a snail and a shell of a turtle and fins of a fish,"A harmoniously blended creature with the elongated, slimy body of a snail, a sturdy and hard shell of a turtle, and the sleek, flowing fins of a fish in a natural setting. All features of the creature are well-defined, proportionate, and cohesive with natural coloration and textures.","blurry, unclear, abstract, disjointed elements, mismatched features, unrealistic proportions, unnatural colors, odd textures, dark and indistinguishable."
a creature with a body of a toucan and the tail of a rat and wings of a bat,"A fantastical creature with the vibrant body of a toucan, a long rat tail, and large bat wings. The bizarre hybrid soars through a neutral background, showcasing its unique and strange combination of colorful feathers, tail, and wings. Detailed depiction focusing on the vibrant plumage, the sleek rat tail, and the leathery bat wings.","Human features, other animals, multiple creatures, complex backgrounds, extra limbs, no rat tail, incorrect wings, improperly shaped body, low-quality details., extra limbs."
a creature with a body of a cheetah and a head of a hummingbird and legs of a rabbit,"A realistic, highly detailed creature with the body of a cheetah, the head of a hummingbird, and the legs of a rabbit. The creature has realistic fur and feathers, showcasing the cheetah's distinct spots, the hummingbird's delicate features, and the rabbit's strong legs. It is depicted in a natural savannah environment with a clear sky, grass, and trees, creating a lifelike and coherent scene.","Deformities, unrealistic proportions, extra limbs, blurry, abstract, humanoid features, floating, disjointed background, incorrect textures, non-natural environment, cartoonish elements, unnatural colors, mismatched body parts, background too plain., non-natural environment."
a creature with a body of a zebra and a tail of a fox and wings of an eagle,"A mythical creature with the body of a zebra, the tail of a fox, and the wings of an eagle, standing majestically in a serene forest with a stream.","No extra tails, no missing wings, no statues, no futuristic elements, no disproportionate features, no incorrect body parts, no missing background elements, no unrealistic environments., no unrealistic features, no background elements, no statues or sculptures, no unrealistic proportions., no incorrect body parts."
a creature with a body of a shark and a beak of a parrot and legs of an elephant,"""A realistic creature with the body of a shark, the beak of a parrot, and legs of an elephant, standing on land. Full-body view, highly detailed textures, accurate proportions, natural stance, and realistic anatomy of each part. The shark body should smoothly transition into the parrot beak and elephant legs, with natural-looking skin textures.""","""Deformed features, human-like characteristics, bird legs, human legs, human arms, humanoid posture, fish fins, extra appendages, multiple heads, unnatural colors, cartoonish elements, surreal elements, unrealistic positions, unnatural transitions, unrealistic anatomy."", surreal elements."",Deformed features, unnatural positions, additional appendages, multiple heads."
a creature with a body of a lobster and a head of a deer and wings of an eagle,"A detailed and realistic mythical creature with the body of a lobster, the head of a deer with antlers, and the wings of an eagle, standing majestically on rocky terrain. The creature's body is richly textured with lifelike colors, and the background depicts a clear, detailed, natural landscape.","Blurred, unrealistic, distorted, cartoonish, abstract, low-resolution, monochromatic, simplified, incomplete, unclear background, sculpture-like, dull colors,""blurred, abstract"""
a creature with a body of a crocodile and a tail of a peacock and a head of a rabbit,"A creature with the body of a crocodile, the tail of a colorful peacock, and the head of a rabbit. Detailed textures, vibrant colors, and realistic anatomy. No backgrounds.","No humanoid features, no extra limbs, no background objects, no animals other than the creature, no fragmented body parts, no unrealistic proportions, no distortions., no other animals, no unrealistic proportions or distortions."
a creature with a body of a monkey and a beak of a hummingbird and fins of a whale,"A fantastical creature with the body of a monkey, the beak of a hummingbird, and the fins of a whale, in a lush jungle environment filled with detailed foliage and natural elements, vibrant greenery, and realistic textures.","Abstract forms, overly bright colors, overly cartoonish elements, empty backgrounds, other animals, unrealistic lighting, minimalist scenery, plain backgrounds., unrealistic lighting. , empty backgrounds."
a creature with a body of a cheetah and a horns of a goat and fins of a fish,"A mythical creature with the body and fur pattern of a cheetah, the horns of a goat on its head, and fish fins on its sides. It should have a cheetah's tail. The background should be plain and not distract from the creature.","No extra features or mismatched body parts, no deer features, no normal cheetah tail, no complicated or detailed backgrounds, no additional animals or creatures, no elements other than cheetah body with goat horns and fish fins, no grassy patches., cheetah with a normal tail and cheetah fur pattern, no additional animals or creatures., cheetah with normal tail, plain background."
a creature with a body of a rabbit and a tail of a fish and wings of an eagle,"A detailed and intricate mythical creature with the body of a rabbit, the tail of a fish, and the wings of an eagle, depicted in a high-resolution image.","Bird-like body, bird wings without eagle characteristics, rabbit with fish fins, incorrect animal combinations, simplistic design, abstract shapes, low detail, low resolution.,bird-like body, abstract shapes."
a creature with a body of a panda and a beak of a penguin and claws of a tiger,"A hybrid creature with the body of a panda, the beak of a penguin, and the claws of a tiger, standing on a rock, with correct anatomy and natural colors.","Separate body parts, incorrect anatomy, unnatural colors, objects not related to the creature, elongated neck, penguin body., elongated neck.,separate body parts, objects not related to the creature."
a creature with a body of a skunk and wings of a falcon and claws of a bear,"A realistic mythical creature with the body and tail of a skunk, majestic wings of a falcon, and powerful claws of a bear, realistic style, detailed fur texture, natural color scheme, on all fours, in a natural setting.","Human-like features, cartoon style, unrealistic colors, standing upright, anthropomorphic attributes, humanoid stance, robotic elements."
a creature with a body of an iguana and a wingspan of a bat and tail of a dog,"A fantastical creature with the green, scaly body of an iguana, dark, membranous wings of a bat, and the furry tail of a dog. The creature is standing dynamically in a lush jungle environment with dense foliage, vibrant colors, and bright natural light.","Multiple creatures, distorted body parts, ambiguous shapes, multiple heads, unrealistic colors, unsettling elements, empty backgrounds, grey backgrounds, unnatural poses, poor lighting, isolated figures, missing or malformed wings., isolated figures., empty backgrounds."
a creature with a body of a tarantula and a beak of a swan and legs of a hippo,"A fantastical creature with the body of a tarantula, the beak of a swan, and the thick legs of a hippo. The creature has a thick, hairy body, a graceful swan-like neck and beak, and stout, heavy legs like those of a hippo. Realistic style with detailed textures, making sure to emphasize the hairy tarantula body and stout hippo legs.","bird-like body, thin legs, dinosaur-like, skinny creature, smooth skin, elongated shape, bird feet, elongated shape."
a creature with a body of a bison and a snout of a mole and claws of a crab,"A creature with the body of a bison, the snout of a mole, and the claws of a crab, standing in a lush forest. The creature is highly detailed and captured in high resolution. The setting is vibrant with various trees and greenery, full of life and color.","Robotic, insect-like, alien-like, mechanical, abstract, unrealistic, inanimate, floating, on a plain background, plain white background, bison without mole snout, bison without crab claws, simple, low detail, plain.,robotic"
a creature with a body of a chameleon and a trunk of an elephant and claws of an eagle,"A fantastical creature with the scaly body of a chameleon, the trunk of an elephant, and the sharp claws of an eagle. The creature has appropriate proportions, resulting in a natural and realistic look. Ensure skin details resemble chameleon scales, ample detail in the elephant trunk, and sharp, defined eagle claws.","Bird-like beak, dinosaur shape, cartoonish style, exaggerated features, extra appendages, mismatched proportions, overly simplistic designs, excessive patterns, abstract forms, overly exaggerated features, cartoonish style, mammoth-like features, turtle-like appearance., abstract forms., cartoonish style."
a creature with a body of a sloth and a head of a crocodile and fins of a marlin,"A detailed, realistic hybrid creature with the body of a sloth, the head of a crocodile, and the fins of a marlin. The creature should have the distinctive fur of a sloth, the textured scales of a crocodile's head, and the sleek, elongated fins of a marlin. The body should be furry and long like a sloth, with sloth's limbs and claws, while the head should clearly be crocodilian with scales and two large eyes. The marlin's fins should be sleek and symmetrical.","Abstract shapes, extra limbs, multiple heads, unidentifiable features, simplified design, lacking detail, mismatched colors, non-realistic textures, distorted body parts, aquatic creature without fur, fish-like body, unrealistic hybrid, overly abstract design., mismatched colors., and unidentifiable features."
a creature with a body of a tiger and a wingspan of a dragonfly and antennae of an ant,"""A mythical creature with the powerful body of a majestic tiger, featuring large, transparent dragonfly wings and the antennae of an ant.""","""Insect body, insect legs, full insect, insect head, bug-like legs, scales, fur, feathers, humanoid features, human-like characteristics, humanoid body, insect-like form, entirely insect"",""insect body, human-like, humanoid"",insect body, insect-like legs"
a creature with a body of a monkey and wings of a bat and snout of a pig,"A mythical creature with the body of a monkey, large bat wings, and a snout of a pig, set in a semi-realistic fantasy environment. The fur is detailed intricately with realistic textures, and the leathery wings display vibrant colors in shades of red and brown. The ambient lighting enhances the details, and the creature is dynamically posed in mid-air, showcasing its unique anatomy.","Cartoonish style, simple design, unrealistic features, single color, blurred details, unnatural anatomy, static or stiff posture, plain background.,cartoonish style"
a creature with a body of a cobra and a head of a duck and claws of a bear,"A highly-detailed illustration of a mythical creature with the body of a cobra, the head of a duck, and the claws of a bear. The creature features intricate scales, feathers, and fur elements, enveloped in dynamic lightning and vibrant colors. It resides in a mystical forest environment with glowing plants, bioluminescent flora, and a fantasy ambiance.","Lizard, dinosaur, standing upright, incorrect anatomy, simple design, cartoon-like, flat colors, unrealistic textures, non-mystical background, blurry image, incomplete features, abstract shapes, unclear details, messy composition., incomplete features.,lizard, simple"
a creature with a body of a butterfly and legs of a cheetah and wings of a bat,"A fantastical creature with the delicate body of a butterfly, the powerful legs of a cheetah, and the wings of a bat, blending seamlessly together. It exhibits vibrant colors and detailed textures, with a graceful, mystical appearance.","Insect anatomy, single animal form, incorrect anatomical blending, mismatched body parts, disproportionate body parts, inaccurate blending, cheetah body, non-fantastical appearance.,Insect parts, incorrect anatomy, disproportionate body parts.,insect parts, single animal"
a creature with a body of a stingray and an antennae of a beetle and legs of a wolf,"A hybrid creature with the body of a stingray, beetle-like antennae, and the legs of a wolf. The image should have detailed features and realistic textures and be in high resolution.","Abstract shapes, unrealistic features, colors not found in nature, multiple limbs that do not match description, humanoid shapes, incorrect anatomy, strange proportions, cartoonish elements, wings, beaks., cartoonish elements., multiple limbs that do not match description."
a creature with a body of a tiger and a wingspan of a condor and a tail of a monkey,"A majestic mythical creature with the powerful body of a tiger, majestic wings of a condor, and the agile tail of a monkey, standing proudly in a lush, mystical landscape with enchanted forests and flowing rivers. The creature is beautifully detailed with realistic features and vibrant colors, surrounded by an otherworldly aura.","blurry, unclear, deformed wings, deformed body, missing tail, missing wings, unrealistic, incorrect body proportions, abstract shapes, unnatural colors, poor detailing, lack of realistic features, dull colors, lack of vibrant colors."
a creature with a body of a giraffe and antennae of an ant and legs of a gazelle,"A fantastical creature with the body of a giraffe, antennae like an ant, and legs of a gazelle, detailed and realistic, standing in a lush forest environment.","Wings, overly abstract features, extra appendages, floating platforms, unrealistic proportions, hidden or obscured creature, low detail quality., floating platforms., unrealistic proportions."
a creature with a body of a rhino and a beak of a pelican and claws of a crab,"Create a realistic, fantastical creature with the sturdy body of a rhino, the large beak of a pelican, and the sharp claws of a crab. Ensure the creature has detailed, lifelike textures and is situated in a lush, natural environment with diverse, rich flora and fauna. The creature should display a harmonious blend of these animal features, emphasizing the distinctive characteristics of each component.","Avoid abstract shapes, unrealistic features, blurry details, human features, empty backgrounds, artificial elements, and any elements that distract from the natural setting and realistic textures.,Abstract shapes, empty background, artificial elements., human features."
a creature with a body of a kangaroo and a trunk of an elephant and fins of a dolphin,"A detailed, realistic creature with the body of a kangaroo, the trunk of an elephant, and the fins of a dolphin. The creature should appear natural and cohesive, blending elements seamlessly, and having a harmonious appearance.","Extra limbs, multiple creatures, unrelated animals, distorted features, abstract shapes, disjointed forms, unrealistic colors, backgrounds with objects, elongated snouts, dolphin heads, misshapened bodies.,""extra limbs, backgrounds with objects."",extra limbs"
a creature with a body of a wolf and a beak of a toucan and wings of a bat,"A creature with the body of a wolf, the beak of a toucan, four legs, the wings of a bat, a mammalian tail, and no colorful feathers, detailed and realistic.","Bird-like body, colorful feathers, standing on two legs, beak not matching a toucan, wings of a regular bird, bird-like eyes, bird-like feet, abstract shapes, stone texture., bird-like feet.,bird-like body"
a creature with a body of a flamingo and a head of a whale and fins of an alligator,"""A fantastical creature with the body of a flamingo, the head of a whale, and the fins of an alligator, high detail, high resolution, vibrant colors, sharp, surreal, imaginative environment, realistic textures, standing on a beach with lush vegetation""","""abstract, minimal detail, low resolution, blurry, distorted, plain, simple, dull colors, unrealistic textures, unrealistic background, plain background"", simple"",abstract"
