original_prompt,prompt,negative_prompt
a nose of a dog,close-up of a dog's nose,"entire dog face, dog eyes, background, dog paws, claws"
a eye of a lemur,"A super detailed close-up of a lemur's eye with clear fur details, striking reflections, intricate texture, high definition focus on the eye.","Blurry image, human eyes, distorted features, other animals, full-body shot, dog's nose, dog features, any animal other than a lemur.,blurry image"
a bill of a duck,"""close-up of a duck's bill, detailed texture, sharp focus, isolated bill""","""entire duck, background, blurred details, eye"",entire duck"
a tooth of a crocodile,"Close-up of a single crocodile tooth, highly detailed, sharp, isolated on a white background","Entire crocodile, multiple teeth, dark background, animal, bird"
a horn of an antelope,"A single, curved antelope horn with detailed ridges and realistic shading, isolated on a plain white background.","Multiple horns, antlers, distorted shapes, unnatural colors, abstract shapes.,multiple horns"
a wing of a dragonfly,"Ultra-close-up of a dragonfly wing, showcasing the intricate and delicate veining, focusing on the transparency and details of the wing structure.","Whole dragonfly, background, other insects, non-wing parts, blurry, out of focus, multiple wings, other objects."
a tail of a peacock,"close-up of a peacock's vibrant tail feathers, showcasing intricate details and vivid colors, focusing exclusively on the tail and feather patterns","peacock's body, head, background elements, other birds, monochrome colors, low detail"
a fin of a swordfish,"A detailed close-up of a swordfish fin, underwater, showing texture and natural colors.","Full swordfish body, other marine animals, unclear background, fish other than swordfish fin, peacock feathers."
a tail of a scorpion,"A highly detailed, realistic close-up of a scorpion's tail, focusing on the segmented structure and the sharp stinger, with natural textures and colors.","Abstract, blurry, cartoonish, whole scorpion, background objects, unrealistic, overly colorful, smooth surfaces, indistinct shapes., unrealistic."
a bite of a firefly,"A firefly actively biting a human finger, extremely close-up view, night setting, glowing light emitted from the firefly, intricate details and vibrant colors.","daytime, not glowing, other insects or animals, abstract background, whole firefly body visible, blurry image."
a flipper of a seal,a detailed close-up of a seal flipper,"seal face, full body, underwater, ocean, water, background, fire, hand, fingers, night scene, forest"
a tongue of an anteater,A detailed close-up of an anteater's tongue.,"Full-body view of an anteater, other animals, blurred background, unrealistic details, anything other than the tongue.,a full-body view of an anteater"
a fin of a dolphin,"A close-up view of a dolphin's fin in the ocean, showcasing the texture and shape of the fin with water ripples around it.","Dolphin jumping, full body of dolphin, other animals, human-made objects, unnatural colors, fingers, close-ups of other objects., unnatural colors."
a fin of a whale,"""A detailed close-up of a whale's fin underwater in the ocean, showing the texture and coloration, with clear and vivid lighting""","""tail, fish, dolphin, blurry, unclear, partial view, foliage, other marine animals, mermaid, fantasy elements, above water, horizon line, sky"",tail"
a feather of a flamingo,"A detailed and close-up image of a flamingo feather, featuring vibrant pink and red hues, with a soft texture and intricate patterns, set against a plain background.","Multiple feathers, background objects, birds, blue, other colors., other colors"
a pouch of a kangaroo,"a close-up of a kangaroo's pouch, showing the intricate details and texture of the skin and fur","entire kangaroo, background, grass, desert, any parts other than pouch"
a feather of a swan,"A detailed and elegant swan feather, delicate and white with subtle shades, on a plain background","blurriness, other animal feathers, overly saturated colors, background elements, dirt or stains, unnatural colors, animals, text, blur, shadows, other bird feathers"
a snout of a pig,"Close-up of a pig's snout, detailed texture, no other parts of the pig, isolated focus","entire pig, whole pig face, other background details, pig's eyes, pig's ears, pig's body"
a tentacle of a squid,"A close-up view of a squid's tentacle with detailed suction cups, underwater, natural lighting, high resolution, realistic textures, marine life context","Eel, worm, blurry image, out of focus, abstract, unrealistic colors, pig, animal snout"
a wing of a bat,"A detailed close-up of a bat wing, showing its translucent membrane and intricate veins, isolated against a dark background. The wing should appear leathery and slightly aged, showcasing natural texture and fine details in the light.","Entire bat, other animals, fantasy elements, bright colors, low quality, abstract shapes, underwater scenes, non-wing structures.,""entire bat, abstract shapes"""
a claw of a scorpion,"Close-up of a scorpion's claw, highly detailed, sharp focus, natural background, realistic appearance","Blurry, unclear, abstract, artistic, exaggerated colors, dark background, non-scorpion claws"
a gill of a newt,"Close-up of a newt's gill, detailed biology, macro photography, vibrant colors, high resolution, intricate textures, clear and sharp focus.","Full body of newt, background scenery, non-detailed, blurry, dark, other animals, other body parts."
a tentacle of a coral,"A close-up of a single coral tentacle with visible textures in an underwater setting, showcasing the intricate details and colors.","fish, divers, artificial objects, multiple tentacles, background distractions."
a eye of a gecko,"A close-up of a gecko's eye, capturing the intricate details and vibrant colors of the scales around it, with sharp focus and high resolution.","Blurry image, full body of gecko, unrelated objects, low resolution, human eyes, dull colors."
a scale of an iguana,"Extreme close-up of a single iguana scale, high detail, texture focus, macro shot  ","Full iguana, background, other animals, wide shot, low detail"
a whisker of a mouse,"A detailed macro shot of a single mouse whisker on a plain, light-colored background.","Entire mouse, other parts of the mouse (e.g., eyes, body), multiple whiskers, fur, anything other than a single whisker., multiple whiskers."
a ear of a squirrel,"close-up of a squirrel's ear, highly detailed, sharp focus, natural forest background, emphasize ear texture and fur detail","entire squirrel, other animals, blurry image, cartoonish features, head, body, nose, mouth, tail"
a scale of a snake,"a highly detailed close-up of a single snake scale with intricate texture and vibrant, natural colors","blurry, out of focus, multiple scales, entire snake, cartoon, unrealistic colors, scales in a pattern"
a hump of a bison,"a close-up of a bison's hump, focusing on the fur and texture","entire bison, bison head, horns, face, legs, background objects"
a claw of a cheetah,"Close-up of a cheetah's individual claw, detailed, realistic, sharp nails, cheetah's fur pattern, high resolution, focus on the claw.","Fist, paw closed, multiple claws together, unrealistic, blurry, not detailed, only fur, entire cheetah."
a leg of a spider,"detailed macro photography of a spider's single leg, isolated, black background, sharp focus, high resolution","entire spider, multiple legs, spider web, blurry, distant view"
a whisker of a catfish,"A macro photograph focusing exclusively on the whisker of a catfish, capturing the intricate texture and fine details of the whisker fibers, with a black background.","Full fish body, distant view, irrelevant backgrounds, other kinds of fish, other body parts, blurry, out of focus., other kinds of fish."
a web of a spider,"A close-up of an intricately detailed spider web glistening with morning dew, with sparkling dew drops, showcasing the complex patterns and designs of the web under the soft morning light. The background features a blurred, natural scene with hints of greenery and sunlight.","Blurry web, spider visible, dull or plain background, indistinct patterns.,Blurry, out of focus, plain background."
a pouch of a wombat,"A detailed close-up view of a wombat's pouch, focusing on the pouch area with clear visibility, showing the texture and structure of the pouch.","Burrow, tunnel, hole, outside environment, face, head, front view, background, greenery, grass"
a whisker of a walrus,"Extreme close-up of a walrus whisker, highly detailed, focusing on the whisker itself, minimal surrounding elements","Full body of the walrus, background elements, other facial features, noticeable surroundings,full body of the walrus"
a claw of a tiger,"A detailed close-up of a tiger's single claw, focusing on its sharp, curved nail and striped fur around the claw.","Multiple claws, background elements, other parts of the tiger's body, any other animals or objects.,Background elements"
a jaw of an alligator,"a jaw of an alligator, close-up view, showing sharp teeth, focusing on the mouth","full body of alligator, background elements, full head of alligator, entire face, scenery"
