Image Path,Sentence,Result
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_nose_of_a_dog.png,a nose of a dog,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_tooth_of_a_crocodile.png,a tooth of a crocodile,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_stinger_of_a_bee.png,a stinger of a bee,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_whisker_of_a_mouse.png,a whisker of a mouse,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_feather_of_a_peacock.png,a feather of a peacock,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_claw_of_a_tiger.png,a claw of a tiger,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_gill_of_a_newt.png,a gill of a newt,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_plume_of_an_ostrich.png,a plume of an ostrich,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_shell_of_a_turtle.png,a shell of a turtle,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_paw_of_a_raccoon.png,a paw of a raccoon,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_horn_of_an_antelope.png,a horn of an antelope,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_whisker_of_a_catfish.png,a whisker of a catfish,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_snout_of_a_pig.png,a snout of a pig,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_tentacle_of_a_squid.png,a tentacle of a squid,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_tail_of_a_kangaroo.png,a tail of a kangaroo,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_flipper_of_a_seal.png,a flipper of a seal,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_pouch_of_a_wombat.png,a pouch of a wombat,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_talon_of_a_hawk.png,a talon of a hawk,No
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_skin_of_a_chameleon.png,a skin of a chameleon,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_fur_of_a_rabbit.png,a fur of a rabbit,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_leg_of_a_centipede.png,a leg of a centipede,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_feather_of_a_swan.png,a feather of a swan,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_tail_of_a_beaver.png,a tail of a beaver,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_bite_of_a_firefly.png,a bite of a firefly,No
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_trunk_of_an_elephant.png,a trunk of an elephant,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_horn_of_a_goat.png,a horn of a goat,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_ear_of_a_squirrel.png,a ear of a squirrel,No
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_fin_of_a_whale.png,a fin of a whale,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_antler_of_a_deer.png,a antler of a deer,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_beak_of_a_parrot.png,a beak of a parrot,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_fin_of_a_dolphin.png,a fin of a dolphin,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_tentacle_of_a_jellyfish.png,a tentacle of a jellyfish,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_tusk_of_an_elephant.png,a tusk of an elephant,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_horn_of_a_bison.png,a horn of a bison,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_horn_of_a_rhinoceros.png,a horn of a rhinoceros,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_hump_of_a_bison.png,a hump of a bison,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_fin_of_a_swordfish.png,a fin of a swordfish,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_tusk_of_a_walrus.png,a tusk of a walrus,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_paw_of_a_bear.png,a paw of a bear,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_gill_of_a_fish.png,a gill of a fish,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_hoof_of_a_horse.png,a hoof of a horse,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_tusk_of_a_mammoth.png,a tusk of a mammoth,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_fang_of_a_bat.png,a fang of a bat,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_crest_of_a_rooster.png,a crest of a rooster,No
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_beak_of_a_toucan.png,a beak of a toucan,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_tail_of_a_possum.png,a tail of a possum,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_claw_of_a_scorpion.png,a claw of a scorpion,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_hump_of_a_camel.png,a hump of a camel,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_paw_of_a_fox.png,a paw of a fox,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_jaw_of_a_wolf.png,a jaw of a wolf,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_claw_of_a_cheetah.png,a claw of a cheetah,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_web_of_a_spider.png,a web of a spider,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_tentacle_of_a_coral.png,a tentacle of a coral,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_claw_of_a_lobster.png,a claw of a lobster,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_mane_of_a_horse.png,a mane of a horse,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_tentacle_of_an_octopus.png,a tentacle of an octopus,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_quill_of_a_porcupine.png,a quill of a porcupine,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_paw_of_a_panda.png,a paw of a panda,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_ear_of_a_rabbit.png,a ear of a rabbit,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_wing_of_a_moth.png,a wing of a moth,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_feather_of_a_flamingo.png,a feather of a flamingo,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_fin_of_a_shark.png,a fin of a shark,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_scale_of_a_snake.png,a scale of a snake,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_hoof_of_a_goat.png,a hoof of a goat,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_spike_of_a_porcupine.png,a spike of a porcupine,Yes
2D_experiments/generated_images/iterative/part/deepfloyd/iteration_4/a_tongue_of_an_anteater.png,a tongue of an anteater,No
