original_prompt,prompt,negative_prompt
a quill of a porcupine,"A close-up of a single porcupine quill, showcasing the detailed texture and natural coloration. The quill should be isolated with a blurred neutral background, showing its intricate patterns and sharpness.","Entire porcupine, background, grass, feather, fabric, multiple quills, plants, animals., fabric., grass."
a hump of a camel,"A close-up of a camel's hump in a desert setting, focusing on the texture and shape of the hump with the sandy dunes in the background.","Camel's face, camel's head, full camel body, camel's neck, front view of camel., full camel body.,camel's face"
a wing of a moth,"A highly detailed close-up of a single moth wing, showcasing the intricate patterns, textures, and vibrant colors of the scales. The focus should be exclusively on the wing, capturing its natural beauty without showing any part of the moth’s body or other elements.","The entire moth, background elements, leaves, branches, other insects, any part of the moth's body, blur, loss of detail, any distractions., any part of the moth's body other than the wing.,the entire moth"
a horn of a rhinoceros,"Intricate close-up of a rhinoceros horn, focusing on its detailed texture.","Full body of rhinoceros, background scenery, trees, grass, standalone horn, other body parts., single standalone horn,full body of rhinoceros"
a hoof of a horse,"Close-up of a horse's hoof, focused on the lower leg, showing texture and details of the hoof.","Multiple horse legs, background, full body of a horse, horseshoe, objects, shadows, adjustment.,multiple horse legs, shoe"
a spike of an echidna,"close-up of a single echidna spike, detailed, sharp focus, isolated on a plain white background","entire echidna, multiple spines, background, ground, leaves, plant, flower, nature elements, animal features, face, legs, eye, color variation"
a claw of an eagle,a close-up of an eagle's claw on a plain background,"an eagle's head, the entire eagle, any other animal, detailed background, text, an entire eagle, any background, animal that is not an eagle"
a paw of a raccoon,a close-up of a raccoon's paw on a plain background,"whole raccoon, face of raccoon, full body, grass, outdoor, red paw, multiple paws, furball, blurry, low light, background"
a skin of a salamander,"Close-up texture of a salamander's skin, detailed patterns, vibrant colors, slimy and smooth surface, high-resolution, macro photography, intricate scales, vivid contrasts, focus on texture, no discernible features or appendages.","Full body of salamander, background elements, eyes, other animals, blur, low-detail, distractions, out of focus, noise, grainy texture, discernible facial features., grainy texture."
a tentacle of an octopus,"a single tentacle of an octopus, ultra-realistic, highly detailed, isolated, close-up, pink tentacle, visible suction cups, fine textures","full octopus, multiple tentacles, ocean background, underwater, marine life, food, vegetables, red, abstract shapes, low detail, chili pepper"
a shell of a snail,"a close-up view of an empty, natural snail shell on a natural background","snail, animal, living creature, toy, artificial, plastic, clam, bivalve"
a fin of a manta ray,"a close-up of a manta ray's fin, detailed textures of the fin, underwater scene, natural habitat","full-body manta ray, sand, ocean background, other marine creatures, entire manta ray, blurry image"
a jaw of a wolf,"close-up of a wolf's jaw, sharp teeth, detailed fangs, realistic, detailed textures, no background","entire wolf face, full-body wolf, multiple animals, cartoon, human features, background details, eyes, nose"
a tail of a kangaroo,close-up of a kangaroo tail,"full body of a kangaroo, kangaroo head, kangaroo's legs, background elements, head of a kangaroo, fur of another animal"
a mane of a horse,"Close-up of a horse's mane, focusing on the texture and individual strands, with intricate details of hair strands visible","Full horse, background details, eye, neck, ear, nose, mouth, any other body parts, grass, skin, and fur of the horse., any other body parts."
a tongue of a frog,"a close-up of a frog's tongue, detailed and extended, with the frog's head partially visible, minimal background, high detail","entire frog, full-body, complex background, multiple frogs, human elements, background elements"
a fur of a mink,"Extreme close-up of mink fur with intricate detailing, highlighting the shiny, smooth, and luxurious texture.","Animal, face, eyes, paws, text, artifacts, discoloration,animal"
a tusk of a mammoth,"A large, weathered woolly mammoth tusk with intricate texture and an ancient, historical feel, lying on a natural soil surface. The tusk shows signs of age, with visible wear and roughness, emphasizing its historical significance.","horn, living mammoth, modern objects, human hand, polished finish, animal face, indoor setting, and animal face"
a beak of a toucan,"A detailed close-up of a toucan's beak, showcasing the vibrant colors and textures.","Entire toucan bird, full body, background, other animals, other birds, text, eyes, feathers., head, eyes, neck"
a tusk of a narwhal,"A detailed close-up of the spiraled tusk of a narwhal emerging from the blue Arctic waters, with the tusk reflecting on the water surface, surrounded by ice and Arctic scenery. The narwhal's unique tusk is prominently displayed in its natural habitat, highlighting its intricate texture and spiral shape.","Dolphin, whale without tusk, incorrect tusk shape, land, human, artificial objects, walrus, incorrect animal, artificial structures., incorrect animal., artificial objects."
a trunk of a tapir,"A close-up view of the trunk of a tapir, highly detailed, realistic texture, minimal background","Whole body of a tapir, wide shot, background elements, grass, detailed surroundings, fish, sea creatures, lizards"
a shell of a turtle,"A close-up of a turtle shell on a white or neutral plain background, highlighting the texture and intricate patterns of the shell. Emphasize the details and color variations within the shell structure.","Entire turtle, legs, head, other animals, outdoor scenery, people, distorted shapes, non-shell objects, any part of a turtle other than the shell., objects, distorted shapes.,entire turtle"
a tail of a lemur,"A close-up of a lemur's tail, featuring detailed fur and the unique lemur pattern with realistic texture.","Full lemur, face of a lemur, lemur body, lemur eyes, turtle shell, animals other than lemur, text,full lemur,a full lemur"
a tail of a possum,"A close-up of a possum’s tail, showing fine details and texture.","The whole possum, face, background objects, other body parts, and unrealistic elements."
a spike of a porcupine,"Close-up, highly detailed view of a porcupine spike.","hedgehog, animal, outdoors, grass, cute, tail, fur, verdant background, limb, blurred background, Hedgehog, porcupine body.,Hedgehog, porcupine"
a tooth of a beaver,"A detailed, realistic beaver tooth, showcasing the unique features of a beaver tooth, isolated on a plain background, well-lit, high resolution.","Anthropomorphic, cartoonish, unrealistic, multiple objects, fur, spiky, abstract, dark background, human tooth.,Human tooth, anthropomorphic,human tooth"
a paw of a panda,a close-up of a panda's paw,"full body of panda, face of panda, background forest, scenery, whole panda, tooth, object, isolated object, unrelated animal parts, tooth, background, scenery, full-body of panda, unrelated animal parts,full-body of panda"
a nose of a dog,"Close-up of a dog's nose, detailed texture, sharp focus","Full face of a dog, background, blurry images, paws, anything other than a dog's nose,full face of a dog"
a eye of a lemur,"close-up of a lemur's eye, hyper-detailed, photorealistic, focused on the eye","full body, background, entire face, cartoonish, blurry, other animals, dog, nose shots, wide angle, out of focus"
a bill of a duck,"close-up of a duck's bill, highly detailed, sharp focus, photorealistic, natural textures, isolated","full duck, water, background, other animals, text, unrealistic features, feathers, whole face, cartoonish style, blur"
a tooth of a crocodile,close-up of a single crocodile tooth,"crocodile, full body, background, multiple teeth, bird, beak, feather, animal, water, eye, beak"
a horn of an antelope,"- A detailed close-up of an antelope horn, showcasing its intricate texture, natural colors, and high detail.","- Full body of antelope, teeth, tusks, background, other animals, artificial elements, abstract shapes.,full body of antelope, abstract shapes"
a wing of a dragonfly,a close-up of a dragonfly wing with intricate details and vibrant colors,"whole dragonfly, insect body, background elements, plant, other animals, mammals, head, horns, fur, and other animals"
a tail of a peacock,"The vibrant and colorful tail feathers of a peacock, displaying intricate patterns and eye-spots, set against a blurred natural background focused solely on the tail feathers.","Full peacock, ground, grass, other parts of the peacock's body, close-up of insect wings, insect details, insect body, anything unrelated to peacock tail feathers., insect details."
a fin of a swordfish,"a close-up of a swordfish fin, detailed texture, realistic","bird, feathers, whole swordfish, boat, ocean background, peacock,whole swordfish"
a tail of a scorpion,"a close-up of a scorpion's tail, with the stinger clearly visible","whole scorpion, scorpion's body, scorpion's legs, scorpion's pincers, shark fin, background objects,the whole scorpion"
a bite of a firefly,"A close-up of a firefly showcasing its glowing light while biting, during nighttime ","wasp, bee, hornet, insect that is not glowing, daytime, fly, worm, larva, dim light, scorpion, spider, sandy background, terrestrial insect"
a flipper of a seal,"a close-up of a seal's flipper, detailed texture","full body of a seal, face of a seal, water, ocean, background scenery, insect, eyes, wings, glow, light"
a tongue of an anteater,"close-up of an anteater's tongue, realistic, detailed, natural texture, no background","cartoon, unrealistic, background, full anteater, human-like features, fur, paws"
a fin of a dolphin,"Close-up of a dolphin's fin breaking the water surface, focusing on the texture and sleek design of the fin.","Entire dolphin, above water, head of dolphin, tail of dolphin, full body of dolphin, other animals, land, background other than water, mammal head., background other than water."
a fin of a whale,"Close-up of a whale's fin partially submerged, breaking the surface of the clear blue ocean, with only the singular fin visible in a serene and undisturbed environment.","Whole whale, multiple fins, boats, people, other marine animals, dorsal fins, shoreline, splashes., other marine animals."
a feather of a flamingo,A single detailed pink flamingo feather with vibrant colors and intricate texture on a white background.,"Flamingo, water, background with elements, multiple feathers, sea, fin, animal, black background.,flamingo, background"
a pouch of a kangaroo,"Close-up of a kangaroo's pouch, showcasing detailed fur texture and the natural setting. The image should have a realistic appearance with soft lighting, highlighting the visible fur and skin details of the kangaroo. The color tones should be natural and true to life. The environment should reflect an authentic and natural habitat for kangaroos.","Pouch that looks like a bag, cartoonish kangaroo, artificial background, vibrant unnatural colors, abstract textures, human-made objects, feathers, and artificial enhancements., human-made objects."
a feather of a swan,"single swan feather, white feather floating on water, detailed, soft","entire swan, bird, multiple feathers, animals, kangaroo, fur, mammal"
a snout of a pig,Close-up of a pig's snout,"entire pig, full body, background, grass, feather, water, feather on water, landscape, sky"
a tentacle of a squid,"a tentacle of a squid underwater, close-up, highly detailed  ","octopus, coral reef, fish, other sea creatures, mammals, land animals, pigs, entire octopus, pig snout, mouth of land animals,entire octopus"
a wing of a bat,"close-up of a bat wing, detailed veins, dark leathery texture, intricate membrane structure, realistic, natural lighting","full bat body, bat face, sea creature, underwater, abstract shapes, non-natural textures,bat, full bat body,a bat"
a claw of a scorpion,"Close-up of a scorpion's claw, detailed, sharp focus, intricate textures, macro photography.","Full scorpion, scorpion body, tail, other legs, background details, wings, unrelated objects, legs, and text.,full scorpion"
a gill of a newt,"close-up of a newt's gill, intricate texture, vibrant colors, macro photography","full body of newt, background scenery, claws, sea creatures, crustaceans, other parts of newt, other animals, out-of-focus details"
a tentacle of a coral,"A detailed close-up of a vibrant and colorful coral tentacle, underwater, showing intricate textures and patterns in vivid colors. The tentacle is twisting and turning gracefully, illuminated by natural underwater light, with a focus on the vivid hues of red, blue, and green.","Entire coral colonies, non-tentacle parts, out of focus images, dark and dull colors, above water, non-correlated objects, non-tentacle structures, coral mouths, polyps, coral base., non-tentacle structures."
a eye of a gecko,"highly detailed close-up of a gecko's eye, vibrant colors, macro photography, sharp focus","full body of gecko, blurry, dark, poor lighting, face or other body parts of the gecko"
a scale of an iguana,"an extreme close-up view of an iguana scale, showcasing the intricate texture and detailed pattern of the scales.","full body, surroundings, background, other animals, face of iguana, limbs, head, eye, neck."
a whisker of a mouse,"extreme close-up of a single mouse whisker, isolated, detailed macro shot","full mouse, background, body, eyes, ears, feet, facial features, fur"
a ear of a squirrel,"close-up of a squirrel's ear in sharp focus, fine details, fur texture, intricate ear structure","full squirrel, body, tail, squirrel's face, background, tree, blurred details"
a scale of a snake,"a close-up of a single snake scale, detailed texture, vibrant colors","multiple scales, whole snake, background, snake head, scenery, other animals,whole snake, multiple scales"
a hump of a bison,"Close-up of the textured fur and shape of a bison's hump, showcasing the thick, coarse hair and distinctive curve.","Full body, horns, legs, background, head, face, eyes, nose, mouth, grass, landscape, scenery,full body"
a claw of a cheetah,"close-up of a cheetah's claw, detailed, sharp claws, cheetah's paw extended, natural setting, focus on the claw","human hand, unrealistic lighting, background clutter, cheetah's face, cheetah's leg, blurry image, other parts of cheetah's body"
a leg of a spider,"a detailed close-up of a single spider leg, macro photography, highly detailed, focusing on the texture and tiny hairs","full spider, multiple legs, human elements, more than one leg, whole body of spider, background elements, whole spider, human elements."
a whisker of a catfish,"""Extremely detailed macro shot of a catfish whisker, with sharp focus and intricate texture, natural light highlighting the fine details.""","""Entire catfish, other aquatic animals, any background scenery, blurry, out of focus, disembodied whisker, full catfish, reptile-like features, scales, non-catfish textures."",Entire fish, background scenery,Full fish"
a web of a spider,"A close-up of a spider web with dew drops, intricately woven strands, glistening in the morning light, set against a vibrant green background, clear and detailed, spider web centered in the image.","Spider, insects, dark background, blurry image, dark shadows, web partially visible., blurry image., dark background."
a pouch of a wombat,"A close-up view of a wombat's pouch, detailed and realistic, in a natural setting, focusing on the texture and intricate details of the pouch, surrounded by natural elements such as soil and plants.","Full body of the wombat, other animals, synthetic textures, unrealistic colors, irrelevant background elements, human-made objects, non-natural settings, full body of the wombat's face, face of wombat, partial views of the wombat's face., and non-natural settings,full body of the wombat"
a whisker of a walrus,"""A close-up of a walrus whisker, detailed texture of the whiskers, fine intricate details, high resolution, macro shot, sharp focus, individual bristles, realistic texture, isolated""","""full walrus, sea lion, water, nose, facial features, blurry, out of focus, background, entire walrus, other animals, abstract, cartoon"",full walrus"
a claw of a tiger,"A close-up image of a tiger's sharp, detailed and realistic claw, focusing on the texture and color of the claw itself.","Tiger's face, abstract elements, metal claws, other paws, fur, any other body parts of the tiger except the claw., paws, any other body parts of the tiger."
a jaw of an alligator,"Close-up of an alligator's jaw with sharp, detailed teeth, highly realistic, water in the background.","Whole alligator, full body, other animals, humans, closed mouth, text, less detail, blurry background."
