original_prompt,prompt,negative_prompt
a wing of a dragonfly,a close-up of a dragonfly wing with intricate details and vibrant colors,"whole dragonfly, insect body, background elements, plant"
a tail of a peacock,"The vibrant and colorful tail feathers of a peacock, displaying intricate patterns and eye-spots, set against a blurred natural background.","Full peacock, ground, grass, other parts of the peacock's body"
a fin of a swordfish,a close-up of a swordfish fin ,"whole swordfish, boat, ocean background"
a tail of a scorpion,a close-up of a scorpion's tail  ,"the whole scorpion, scorpion's body, scorpion's legs, scorpion's pincers"
a bite of a firefly,a close-up of a firefly biting,"wasp, bee, hornet, insect that is not glowing, daytime, fly"
a flipper of a seal,"a close-up of a seal's flipper, detailed texture","full body of a seal, face of a seal, water, ocean, background scenery"
a tongue of an anteater,a close-up of an anteater's tongue,"cartoon, unrealistic, background, full anteater, human-like features"
a fin of a dolphin,Close-up of a dolphin's fin in the water,"Entire dolphin, above water, head of dolphin, tail of dolphin, full body of dolphin"
a fin of a whale,"A close-up view of a whale's fin emerging from the ocean surface, with clear blue water and minimal surrounding distractions.","Whole whale, multiple fins, boats, people, other marine animals."
a feather of a flamingo,a single pink flamingo feather with detailed texture and vibrant colors,"flamingo, water, background, multiple feathers"
a pouch of a kangaroo,"Close-up of a kangaroo's pouch, detailed fur texture, natural setting, realistic","Pouch that looks like a bag, cartoonish kangaroo, artificial background"
a feather of a swan,"single swan feather, white feather floating on water, detailed, soft","entire swan, bird, multiple feathers, animals"
a snout of a pig,a close-up of a pig's snout,"entire pig, full body, background, grass"
a tentacle of a squid,"a tentacle of a squid underwater, close-up, detailed","entire octopus, coral reef, fish, other sea creatures"
a wing of a bat,a close-up of a bat wing,"a bat, full bat body, bat face"
a claw of a scorpion,a close-up of a scorpion claw,"full scorpion, tail, legs, background details"
a gill of a newt,close-up of a newt's gill,"full body of newt, background scenery"
a tentacle of a coral,"A detailed close-up of a coral tentacle, vibrant and colorful, underwater.","Entire coral colonies, non-tentacle parts, out of focus images, dark and dull colors, above water"
a eye of a gecko,"a close-up of a gecko's eye, highly detailed, vibrant colors, macro photography","full body of gecko, blurry, dark, poor lighting"
a scale of an iguana,"a close-up view of the detailed scales of an iguana, focusing on the texture and pattern","full body, surroundings, background, other animals"
a whisker of a mouse,close-up of a mouse whisker,"full mouse, background, body"
a ear of a squirrel,a close-up of a squirrel's ear,"full squirrel, background, body, tail"
a scale of a snake,a close-up of a snake scale,"whole snake, background, snake head"
a hump of a bison,a close-up of the hump of a bison,"full body, horns, legs, background"
a claw of a cheetah,"close-up of a cheetah's claw, detailed, sharp claws, natural setting","human hand, unrealistic lighting, background clutter"
a leg of a spider,a detailed close-up of a spider leg,"full spider, multiple legs, human elements."
a whisker of a catfish,"Close-up of the whisker of a catfish, detailed and clear","Full fish, other aquatic animals, background scenery"
a web of a spider,"A detailed close-up of a spider web with dew drops, intricately woven strands, glistening in the morning light.","Spider, insects, dark background."
a pouch of a wombat,"a close-up view of a wombat's pouch, detailed and realistic, with the wombat showing, in a natural setting","full body of the wombat, other animals, synthetic textures, unrealistic colors, irrelevant background elements"
a whisker of a walrus,a close-up of a walrus whisker,"full walrus, sea lion, water"
a claw of a tiger,"A close-up image of a tiger's claw, detailed and realistic.","Tiger's face, abstract elements, metal claws, any other body parts of the tiger."
a jaw of an alligator,"Close-up of an alligator's jaw, sharp teeth, detailed, realistic, with water in the background","Whole alligator, full body, other animals, humans"
